repo,lists
spf13/cobra,Go / 后端;工具 / 效率
chaosblade-io/chaosblade,Go / 后端;云原生 / DevOps;工具 / 效率
cvenwu/os-guide-cn,C / C++;软技能 / 职业
rocboss/paopao-ce,Go / 后端;分布式 / 系统设计;工具 / 效率
GreaterWMS/GreaterWMS,UNCATEGORIZED
tmplink/ipv6,UNCATEGORIZED
codewithsadee/vcard-personal-portfolio,UNCATEGORIZED
ahmedtariq01/Cloud-DevOps-Learning-Resources,面试 / 八股;云原生 / DevOps;软技能 / 职业
kiddin9/Kwrt,UNCATEGORIZED
rachitiitr/modern-cpp-tricks,算法;面试 / 八股;C / C++
learntocloud/learn-to-cloud,云原生 / DevOps;工具 / 效率;软技能 / 职业
loov/lensm,Go / 后端;C / C++
Celthi/effective-debugging-zh,UNCATEGORIZED
hackclub/some-assembly-required,C / C++
remzi-arpacidusseau/ostep-translations,UNCATEGORIZED
codersguild/System-Design,分布式 / 系统设计;面试 / 八股
polarismesh/polaris-go,Go / 后端
InterviewReady/system-design-resources,分布式 / 系统设计;面试 / 八股
poor-circle/XMU-Daily-Reporter,C / C++
OBKoro1/koro1FileHeader,工具 / 效率
google/benchmark,C / C++
Syllo/nvtop,C / C++;云原生 / DevOps;工具 / 效率
0voice/cpp_new_features,C / C++
rd2coding/Road2Coding,UNCATEGORIZED
armink/EasyLogger,C / C++
yitter/IdGenerator,分布式 / 系统设计;算法;C / C++;Rust
nonstriater/Learn-Algorithms,算法;C / C++
wuye9036/CppTemplateTutorial,C / C++;工具 / 效率;软技能 / 职业
parallel101/course,C / C++
SFUMECJF/cmake-examples-Chinese,C / C++
RudjiGames/MTuner,C / C++;工具 / 效率
sunface/rust-course,Rust;软技能 / 职业
influxdata/influxdb,分布式 / 系统设计;Rust;云原生 / DevOps;工具 / 效率
sunface/rust-by-practice,Rust
LearningOS/rust-based-os-comp2023,C / C++;Rust
cstack/db_tutorial,分布式 / 系统设计;C / C++;软技能 / 职业
netdata/netdata,AI / Agent;LLM 基础;Go / 后端;分布式 / 系统设计;云原生 / DevOps
qax-os/excelize,AI / Agent;Go / 后端
apache/doris,AI / Agent;分布式 / 系统设计
apache/dolphinscheduler,云原生 / DevOps
yeasy/docker_practice,Go / 后端;云原生 / DevOps;软技能 / 职业
httprunner/httprunner,AI / Agent;Go / 后端;工具 / 效率
arriqaaq/flashdb,Go / 后端;分布式 / 系统设计
arriqaaq/set,Go / 后端;分布式 / 系统设计;算法
mohuishou/go-design-pattern,Go / 后端;软技能 / 职业
qiangmzsx/Software-Engineering-at-Google,UNCATEGORIZED
influxdata/telegraf,AI / Agent;Go / 后端;分布式 / 系统设计;云原生 / DevOps
apolloconfig/apollo,Go / 后端;分布式 / 系统设计
yujiangshui/A-Programmers-Guide-to-English,软技能 / 职业
ithewei/libhv,C / C++
TheAlgorithms/C,LLM 基础;算法;面试 / 八股;C / C++
The-Run-Philosophy-Organization/run,UNCATEGORIZED
clickvisual/clickvisual,Go / 后端;分布式 / 系统设计;云原生 / DevOps
menghuan/lnmp-code-analysis,分布式 / 系统设计;云原生 / DevOps
gin-gonic/gin,Go / 后端;分布式 / 系统设计
RameshMF/spring-boot-tutorial,软技能 / 职业
yudaocode/SpringBoot-Labs,分布式 / 系统设计
LukeMathWalker/zero-to-production,Rust;软技能 / 职业
nusu/avvvatars,工具 / 效率
amruthpillai/reactive-resume,面试 / 八股;工具 / 效率
CoderLeixiaoshuai/wuhan-IT,UNCATEGORIZED
CoderLeixiaoshuai/java-eight-part,分布式 / 系统设计;面试 / 八股
Yin-Hongwei/music-website,分布式 / 系统设计;工具 / 效率
wuyouzhuguli/SpringAll,UNCATEGORIZED
web1992/read,C / C++
youlookwhat/DesignPattern,软技能 / 职业
itwanger/toBeBetterJavaer,分布式 / 系统设计;面试 / 八股
LandGrey/SpringBootVulExploit,UNCATEGORIZED
dilshankarunarathne/dilshankarunarathne,工具 / 效率
dunwu/db-tutorial,Go / 后端;分布式 / 系统设计;软技能 / 职业
yanfeizhang/coder-kung-fu,C / C++
youngyangyang04/leetcode-master,算法;面试 / 八股;C / C++
CodingDocs/awesome-java,分布式 / 系统设计;工具 / 效率
varletjs/varlet,工具 / 效率
rbmonster/learning-note,分布式 / 系统设计;面试 / 八股
redis/redis,分布式 / 系统设计;算法;C / C++
gotomicro/ego,Go / 后端;分布式 / 系统设计
ShujiaHuang/Cpp-Primer-Plus-6th,C / C++
go-resty/resty,Go / 后端;分布式 / 系统设计
PlatformLab/NanoLog,C / C++
bytedance/sonic,Go / 后端
forthespada/CS-Books,Go / 后端;分布式 / 系统设计;算法;面试 / 八股;C / C++;云原生 / DevOps;软技能 / 职业
Enter-tainer/cxx2flow,C / C++;Rust
Alinshans/MyTinySTL,算法;C / C++
TheAlgorithms/C-Plus-Plus,LLM 基础;算法;面试 / 八股;C / C++
ascoders/weekly,工具 / 效率
donnemartin/system-design-primer,分布式 / 系统设计;面试 / 八股;软技能 / 职业
teivah/100-go-mistakes,Go / 后端;软技能 / 职业
microsoft/calculator,C / C++
feiskyer/sdn-handbook,C / C++;云原生 / DevOps;软技能 / 职业
simplezhli/flutter_deer,UNCATEGORIZED
mchong6/JoJoGAN,LLM 基础
0voice/introduce_c-cpp_manual,算法;面试 / 八股;C / C++
Knetic/govaluate,Go / 后端
Vonng/ddia,分布式 / 系统设计;软技能 / 职业
hengqiali/AwesomeCpp,面试 / 八股;C / C++;工具 / 效率
applenob/Cpp_Primer_Practice,C / C++
coolsnowwolf/lede,C / C++
dibingfa/flash-linux0.11-talk,C / C++;云原生 / DevOps
huihut/CS-Books,算法;面试 / 八股;C / C++;软技能 / 职业
vendasta/setup-new-computer-script,UNCATEGORIZED
Cpp-Club/Cxx_HOPL4_zh,C / C++
tsherif/space-shooter.c,C / C++;云原生 / DevOps
PKUFlyingPig/cs-self-learning,UNCATEGORIZED
gibsjose/cpp-cheat-sheet,算法;C / C++
jaywcjlove/linux-command,云原生 / DevOps
qinguoyi/TinyWebServer,C / C++
imarvinle/WebServer,C / C++;云原生 / DevOps
linyacool/WebServer,C / C++
wsdjeg/Learn-Vim_zh_cn,UNCATEGORIZED
riba2534/TCP-IP-NetworkNote,C / C++
FASTSHIFT/X-TRACK,C / C++
lowlighter/metrics,工具 / 效率
Light-City/CPlusPlusThings,C / C++
0voice/learning_mind_map,Go / 后端;分布式 / 系统设计;算法;C / C++;云原生 / DevOps
axiaoxin-com/investool,Go / 后端
IceWhaleTech/CasaOS,Go / 后端;云原生 / DevOps;工具 / 效率
hunterhug/goa.c,Go / 后端;算法
penpot/penpot,分布式 / 系统设计
fangzesheng/free-api,UNCATEGORIZED
gopl-zh/gopl-zh.github.com,Go / 后端;软技能 / 职业
robfig/cron,Go / 后端
gorse-io/gitrec,工具 / 效率
bryandlee/animegan2-pytorch,LLM 基础
xxjwxc/caoguo,Go / 后端;工具 / 效率
yeemachine/kalidokit,UNCATEGORIZED
Sxela/face2comics,UNCATEGORIZED
doggy8088/Learn-Git-in-30-days,UNCATEGORIZED
spring2go/cs_study_plan,UNCATEGORIZED
thedevsaddam/gojsonq,Go / 后端
nndl/nndl,LLM 基础
JordanKnott/taskcafe,Go / 后端;工具 / 效率
k88hudson/git-flight-rules,UNCATEGORIZED
acm-clan/algorithm-stone,算法;C / C++
Kobaayyy/Awesome-ICCV2025-ICCV2021-Low-Level-Vision,工具 / 效率
huangmingchuan/Cpp_Primer_Answers,C / C++
yangchuansheng/envoy-handbook,云原生 / DevOps;软技能 / 职业
rootsongjc/kubernetes-handbook,云原生 / DevOps;软技能 / 职业
moby/libnetwork,Go / 后端;云原生 / DevOps
projectcalico/calico,Go / 后端;云原生 / DevOps
volcano-sh/volcano,LLM 基础;Go / 后端;云原生 / DevOps
apache/servicecomb-pack,AI / Agent;Go / 后端;分布式 / 系统设计
VickScarlet/lifeRestart,UNCATEGORIZED
dapr/dapr,Go / 后端;分布式 / 系统设计;云原生 / DevOps
kubesphere-sigs/awesome-cloud-native-blogs,云原生 / DevOps;工具 / 效率
danielgatis/rembg,工具 / 效率
brilam/remove-bg,UNCATEGORIZED
EasyDarwin/EasyDarwin,分布式 / 系统设计
kubernetes-retired/dashboard,Go / 后端;云原生 / DevOps
1Panel-dev/KubePi,Go / 后端;云原生 / DevOps
huihut/interview,分布式 / 系统设计;算法;面试 / 八股;C / C++
Tencent/secguide,软技能 / 职业
RealKai42/qwerty-learner,UNCATEGORIZED
wangdoc/clang-tutorial,C / C++;软技能 / 职业
girliemac/a-picture-is-worth-a-1000-words,UNCATEGORIZED
guanguans/design-patterns-for-humans-cn,软技能 / 职业
docker/getting-started,云原生 / DevOps
modelfoxdotdev/modelfox,LLM 基础;Go / 后端;Rust
